Date,Open,High,Low,Close,Adj Close,Volume,Label
3/16/2016,17249.33984,17379.17969,17204.07031,17325.75977,17325.75977,118710000,1
3/15/2016,17217.15039,17251.69922,17120.34961,17251.5293,17251.5293,92830000,1
3/14/2016,17207.49023,17275.07031,17161.16016,17229.13086,17229.13086,96350000,1
3/11/2016,17014.99023,17220.08984,17014.99023,17213.31055,17213.31055,123420000,1
3/10/2016,17006.05078,17130.10938,16821.85938,16995.13086,16995.13086,117570000,0
3/9/2016,16969.16992,17048.5,16947.93945,17000.35938,17000.35938,116690000,1
3/8/2016,17050.66992,17072.78906,16921.50977,16964.09961,16964.09961,108380000,0
3/7/2016,16991.28906,17099.25,16940.48047,17073.94922,17073.94922,100290000,1
3/4/2016,16945,17062.38086,16898.83984,17006.76953,17006.76953,106910000,1
3/3/2016,16896.16992,16944.31055,16820.73047,16943.90039,16943.90039,91110000,1
3/2/2016,16851.16992,16900.16992,16766.32031,16899.32031,16899.32031,104470000,1
3/1/2016,16545.66992,16865.56055,16545.66992,16865.08008,16865.08008,105050000,1
2/29/2016,16634.15039,16726.11914,16510.40039,16516.5,16516.5,126220000,0
2/26/2016,16712.69922,16795.98047,16623.91016,16639.9707,16639.9707,98480000,0
2/25/2016,16504.38086,16697.98047,16458.41992,16697.28906,16697.28906,94120000,1
2/24/2016,16418.83984,16507.39063,16165.86035,16484.99023,16484.99023,93620000,1
2/23/2016,16610.39063,16610.39063,16403.5293,16431.7793,16431.7793,98170000,0
2/22/2016,16417.13086,16664.24023,16417.13086,16620.66016,16620.66016,102240000,1
2/19/2016,16410.96094,16410.96094,16278,16391.99023,16391.99023,134340000,0
2/18/2016,16483.75977,16511.83984,16390.42969,16413.42969,16413.42969,104950000,0
2/17/2016,16217.98047,16486.11914,16217.98047,16453.83008,16453.83008,124080000,1
2/16/2016,16012.38965,16196.41016,16012.38965,16196.41016,16196.41016,142030000,1
2/12/2016,15691.62012,15974.04004,15691.62012,15973.83984,15973.83984,132550000,1
2/11/2016,15897.82031,15897.82031,15503.00977,15660.17969,15660.17969,172070000,0
2/10/2016,16035.61035,16201.88965,15899.91016,15914.74023,15914.74023,122290000,0
